1.97	0.337	0.103	-0.307857	0	0.924489	0.769158	0	-2.28899	0	0	-3.30597	
1.98	0.337	0.103	-0.300165	0	0.900618	0.769158	0	-2.38709	0	0	-3.30597	
1.99	0.337	0.103	-0.292474	0	0.875767	0.769158	0	-2.48519	0	0	-3.30597	
2	0.337	0.103	-0.284782	0	0.849934	0.769158	0	-2.58329	0	0	-3.30597	
2.01	0.337	0.103	-0.27709	0	0.82312	0.769158	0	-2.68139	0	0	-3.30597	
2.02	0.337	0.103	-0.269399	0	0.795325	0.769158	0	-2.77949	0	0	-3.30597	
2.03	0.337	0.103	-0.261707	0	0.766549	0.769158	0	-2.87759	0	0	-3.30597	
2.04	0.337	0.103	-0.254016	0	0.736792	0.769158	0	-2.97569	0	0	-3.30597	
2.05	0.337	0.103	-0.246324	0	0.706054	0.769158	0	-3.07379	0	0	-3.30597	
2.06	0.337	0.103	-0.238632	0	0.674336	0.769158	0	-3.17189	0	0	-3.30597	
2.07	0.337	0.103	-0.230941	0	0.641636	0.769158	0	-3.26999	0	0	-3.30597	
2.08	0.337	0.103	-0.223249	0	0.607955	0.769158	0	-3.36809	0	0	-3.30597	
2.09	0.337	0.103	-0.215558	0	0.573293	0.769158	0	-3.46619	0	0	-3.30597	
2.1	0.337	0.103	-0.207866	0	0.53765	0.769158	0	-3.56429	0	0	-3.30597	
2.11	0.337	0.103	-0.200175	0	0.501026	0.769158	0	-3.66239	0	0	-3.30597	
2.12	0.337	0.103	-0.192483	0	0.463421	0.769158	0	-3.76049	0	0	-3.30597	
2.13	0.337	0.103	-0.184791	0	0.424836	0.769158	0	-3.85859	0	0	-3.30597	
2.14	0.337	0.103	-0.1771	0	0.385269	0.769158	0	-3.95669	0	0	-3.30597	
2.15	0.337	0.103	-0.169408	0	0.344721	0.769158	0	-4.05479	0	0	-3.30597	
2.16	0.337	0.103	-0.161717	0	0.303192	0.769158	0	-4.15289	0	0	-3.30597	
2.17	0.337	0.103	-0.154025	0	0.260682	0.769158	0	-4.25099	0	0	-3.30597	
2.18	0.337	0.103	-0.146334	0	0.217191	0.769158	0	-4.34909	0	0	-3.30597	
2.19	0.337	0.103	-0.138642	0	0.172719	0.769158	0	-4.44719	0	0	-3.30597	
2.2	0.337	0.103	-0.13095	0	0.127267	0.769158	0	-4.54529	0	0	-3.30597	
2.21	0.337	0.103	-0.123259	0	0.0808327	0.769158	0	-4.64339	0	0	-3.30597	
2.22	0.337	0.103	-0.115567	0	0.0334178	0.769158	0	-4.74149	0	0	-3.30597	
2.23	0.337	0.103	-0.107876	0	-0.0149781	0.769158	0	-4.83959	0	0	-3.30597	
2.24	0.337	0.103	-0.100184	0	-0.0643549	0.769158	0	-4.93769	0	0	-3.30597	
2.25	0.337	0.103	-0.0924924	0	-0.114713	0.769158	0	-5.03579	0	0	-3.30597	
2.26	0.337	0.103	-0.0848009	0	-0.166052	0.769158	0	-5.13389	0	0	-3.30597	
2.27	0.337	0.103	-0.0771093	0	-0.218372	0.769158	0	-5.23199	0	0	-3.30597	
2.28	0.337	0.103	-0.0694177	0	-0.271672	0.769158	0	-5.33009	0	0	-3.30597	
2.29	0.337	0.103	-0.0617261	0	-0.325954	0.769158	0	-5.42819	0	0	-3.30597	
2.3	0.337	0.103	-0.0540345	0	-0.381217	0.769158	0	-5.52629	0	0	-3.30597	
2.31	0.337	0.103	-0.046343	0	-0.437461	0.769158	0	-5.62439	0	0	-3.30597	
2.32	0.337	0.103	-0.0386514	0	-0.494686	0.769158	0	-5.72249	0	0	-3.30597	
2.33	0.337	0.103	-0.0309598	0	-0.552892	0.769158	0	-5.82059	0	0	-3.30597	
2.34	0.337	0.103	-0.0232682	0	-0.612079	0.769158	0	-5.91869	0	0	-3.30597	
2.35	0.337	0.103	-0.0155766	0	-0.672246	0.769158	0	-6.01679	0	0	-3.30597	
2.36	0.337	0.103	-0.00788506	0	-0.733395	0.769158	0	-6.11489	0	0	-3.30597	
2.37	0.337	0.103	-0.000193477	0	-0.795525	0.769158	0	-6.21299	0	0	-3.30597	
2.38	0.337	0.103	0.0074981	0	-0.858636	0.769158	0	-6.31109	0	0	-3.30597	
2.39	0.337	0.103	0.0151897	0	-0.922728	0.769158	0	-6.40919	0	0	-3.30597	
2.4	0.337	0.103	0.0228813	0	-0.987801	0.769158	0	-6.50729	0	0	-3.30597	
2.41	0.337	0.103	0.0305728	0	-1.05385	0.769158	0	-6.60539	0	0	-3.30597	
2.42	0.337	0.103	0.0382644	0	-1.12089	0.769158	0	-6.70349	0	0	-3.30597	
2.43	0.337	0.103	0.045956	0	-1.18891	0.769158	0	-6.80159	0	0	-3.30597	
2.44	0.337	0.103	0.0536476	0	-1.2579	0.769158	0	-6.89969	0	0	-3.30597	
